,Subject,Trial,Song,Entropy,Familiarity,Enjoyment,Artist,Length,Popularity,Explicit,Acousticness,Danceability,Energy,Liveness,Loudness,Key,Mode,Speachiness,Instrumentalness,Tempo,Time signature,Happiness,Subjects,Area,Electrode,Mean_alpha,Std_alpha,Time_over_std,Event_density,Pulse_clarity,Zero_cross,Rolloff,Brightness,Regularity,Mir_entropy,Age,Training,Listening
2790,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,left_arm,30,0.698748294880708,1.20938878838853,0.0553505535055351,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2791,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,left_arm,36,0.856976264066373,1.50601519097167,0.044280442804428,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2792,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,left_arm,37,1.02732533388549,1.76120252176338,0.03690036900369,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2793,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,left_arm,41,1.1241374855008,2.06666515413667,0.0516605166051661,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2794,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,left_arm,42,1.02265283903366,1.88652218091063,0.0553505535055351,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2795,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,right_arm,87,1.2268362191647,2.1431535015266,0.0627306273062731,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2796,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,right_arm,93,1.06526617787698,1.87482198126166,0.0516605166051661,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2797,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,right_arm,103,1.07255106301,1.9016796375439,0.0553505535055351,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2798,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,right_arm,104,0.932514751476265,1.64035537835366,0.0590405904059041,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
2799,19,4,Oino,0.9609549333294644,1,8,LA Priest,4m 31s,45,no,26,76,72,9,-6.6,G#,minor,5,48,139,4,96,19,right_arm,105,1.04908632233044,1.84153666965169,0.0553505535055351,2.98760696370611,0.562892445509579,927.062913056684,5310.12679338455,0.363951420236407,0.34639781748476,0.889562642159161,28,21,7
